City_ID,City,Country,Max Temp,Weather,Lat,Lng,Hotel Name
311,Opelousas,US,75.2,broken clouds,30.5335,-92.0815,Holiday Inn & Suites Opelousas
313,Manavalakurichi,IN,86.0,mist,8.1333,77.3,Udaya Boys Hostel
315,Huarmey,PE,77.09,broken clouds,-10.0681,-78.1522,Hotel Miramar
320,Mogadishu,SO,79.66,clear sky,2.0371,45.3438,Olympic Hotel
321,Tura,IN,76.37,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
326,Rio Grande,BR,79.0,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
327,Bagula,IN,79.99,clear sky,23.3167,88.65,রায় ভবন
328,Ubauro,PK,75.02,scattered clouds,28.1652,69.7289,Khosa Hotel Ubauro
336,Paita,PE,87.8,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
342,Adrar,MR,89.83,clear sky,20.5022,-10.0711,
346,Buraydah,SA,86.0,clear sky,26.326,43.975,فندق راحة السلام
348,Sri Aman,MY,77.0,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
355,Manggar,ID,78.15,moderate rain,-2.8833,108.2667,Guest Hotel
357,Gouyave,GD,84.2,few clouds,12.1646,-61.7296,Rumboat Retreat
361,Rock Sound,BS,77.05,few clouds,24.9,-76.2,Rock Sound Club
362,Nirmal,IN,84.72,few clouds,19.1,78.35,Hotel Mayuri
366,Agadez,NE,77.11,clear sky,19.75,10.25,
369,Virginia Beach,US,75.2,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
370,Escuinapa,MX,75.2,broken clouds,22.85,-105.8,""" Hotel IQ "" de Escuinapa"
375,Sarangani,PH,81.79,overcast clouds,5.4033,125.4636,Ballistic Islet
379,Muisne,EC,86.0,few clouds,0.6,-80.0333,Quinta Samay
380,Katherine,AU,77.0,moderate rain,-14.4667,132.2667,Pine Tree Motel
383,Chuy,UY,76.77,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
388,Iquique,CL,77.0,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
391,Grand Gaube,MU,78.01,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
392,Businga,CD,77.65,broken clouds,3.3333,20.8833,
395,Tefe,BR,86.0,light rain,-3.3542,-64.7114,Aracati Hotel
401,Cayenne,GF,87.8,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
405,Piacabucu,BR,83.79,few clouds,-10.4056,-36.4344,Piaçabuçu News
406,Carutapera,BR,76.32,light rain,-1.195,-46.02,Lidera
416,Vila Velha,BR,88.0,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
418,Moron,AR,82.99,clear sky,-34.6534,-58.6198,Hotel Morón
419,Chitrakonda,IN,77.97,scattered clouds,18.1167,82.0833,Government girls hostel
424,Port Hedland,AU,77.0,few clouds,-20.3167,118.5667,The Esplanade Hotel
425,Porto Belo,BR,82.4,few clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
426,Inhambane,MZ,77.0,few clouds,-23.865,35.3833,Oceano
427,Monrovia,LR,84.2,scattered clouds,6.3005,-10.7969,Sunset Inn
429,Marawi,PH,75.0,overcast clouds,7.9986,124.2928,Derogongan Residence
430,Sao Felix Do Xingu,BR,86.45,moderate rain,-6.6447,-51.995,Rio Xingu Camping
431,Labrea,BR,85.91,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
434,Illapel,CL,76.44,clear sky,-31.6308,-71.1653,Hotel Londres
439,Galle,LK,77.63,overcast clouds,6.0367,80.217,Amangalla
443,Benjamin Constant,BR,86.0,broken clouds,-4.3831,-70.0311,CASA AVALIADA
444,Umm Lajj,SA,75.78,clear sky,25.0213,37.2685,Moon light Furnished Units
446,Kirakira,SB,78.78,broken clouds,-10.4544,161.9205,SanBiz Lodge
449,Eyl,SO,77.59,clear sky,7.9803,49.8164,Amiin Hotel
451,Rocha,UY,79.3,clear sky,-34.4833,-54.3333,Beleza Pura B&B
458,Maroantsetra,MG,77.54,moderate rain,-15.4333,49.7333,Annexe Vatsy Hôtel
460,Yomou,GN,85.93,overcast clouds,7.5603,-9.2653,
463,Cascavel,BR,87.8,light rain,-24.9558,-53.4553,Grand Prix Hotel
476,Biak,ID,75.83,overcast clouds,-0.9131,122.8766,Penginapan Kim
477,Dingle,PH,75.67,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
478,Porbandar,IN,80.42,clear sky,21.6422,69.6093,Lords Inn Porbandar
481,Keti Bandar,PK,78.89,scattered clouds,24.1447,67.4497,Haji laloo memon house
482,Matara,LK,76.82,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
483,Banda Aceh,ID,78.6,overcast clouds,5.5577,95.3222,Sulthan Hotel International
487,Samana,DO,84.2,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
489,Male,MV,78.8,broken clouds,4.1748,73.5089,Hotel Octave Maldives
491,Chancay,PE,78.8,clear sky,-11.5714,-77.2672,Hotel Madre Perla
492,Palu,ID,75.67,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
493,Amudat,UG,77.74,few clouds,1.95,34.95,Silent Night Hotel
497,Kutum,SD,84.76,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
500,Celestun,MX,87.73,clear sky,20.8667,-90.4,Posada Lilia
505,Lockhart,US,84.0,clear sky,28.6194,-81.4426,Courtyard by Marriott Orlando Altamonte Springs/Maitland
506,Weligama,LK,76.82,overcast clouds,5.9667,80.4167,Weligama Bay Resort
507,Chinchani,IN,82.33,clear sky,19.8667,72.7,Vasantshrushti Farm
512,Sao Gabriel Da Cachoeira,BR,86.0,few clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
514,Maldonado,UY,82.0,scattered clouds,-34.6667,-54.9167,La Cimarrona
515,Maragogi,BR,81.93,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
516,Kilindoni,TZ,83.12,clear sky,-7.9139,39.6668,Bustani B&B
517,Ponta Pora,BR,86.0,moderate rain,-22.5361,-55.7256,Hotel Pousada do Bosque
520,Saint-Leu,RE,78.8,few clouds,-21.15,55.2833,La Caz Oceane
521,Tingo Maria,PE,77.0,light rain,-9.2895,-76.0088,Hospedaje Paraíso
523,Ambilobe,MG,75.99,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
528,Sola,VU,75.2,light rain,-13.8833,167.55,Leumerus Bungalows
530,Takoradi,GH,82.09,overcast clouds,4.8845,-1.7554,Raybow International Hotel
532,Rodrigues Alves,BR,84.2,broken clouds,-7.738,-72.6509,Pousada Aconchego
533,Daru,PG,78.28,overcast clouds,-9.0763,143.2092,Daru Lodge
534,Akyab,MM,79.56,clear sky,20.15,92.9,Hotel Memory
535,Chahuites,MX,87.87,clear sky,16.2833,-94.1833,Casa de los hermanos Matus moreno
536,Ndele,CF,85.01,broken clouds,8.4109,20.6473,
537,Sur,OM,77.54,clear sky,22.5667,59.5289,Sur Plaza Hotel
542,Kununurra,AU,80.6,broken clouds,-15.7667,128.7333,Hotel Kununurra
545,Buala,SB,79.09,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
547,Hualmay,PE,76.53,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
548,Sulangan,PH,81.1,light rain,11.1373,123.7228,Maia's Beach Resort
559,Azul,AR,81.0,clear sky,-36.777,-59.8585,Cabañas Dulcinea
560,Sao Joao Da Barra,BR,87.8,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
562,San Vicente De Canete,PE,77.13,broken clouds,-13.0751,-76.3835,Hotel Konford
564,Hobyo,SO,79.09,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
565,Buenos Aires,AR,82.99,broken clouds,-34.6132,-58.3772,Hotel NH Buenos Aires City
574,Cozumel,MX,86.0,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
577,Lae,PG,75.52,overcast clouds,-6.7221,146.9847,Phils Hotel
579,Bam,IR,77.79,few clouds,29.106,58.357,Bam Tourist Hotel
580,Itaituba,BR,77.0,heavy intensity rain,-4.2761,-55.9836,Hotel Campos
587,Miraflores,MX,78.8,clear sky,19.2167,-98.8083,Hotel Mansión
588,Soledade,BR,82.33,scattered clouds,-28.8183,-52.5103,Pousada Da Gringa
589,Puri,IN,82.4,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
590,Nova Olinda Do Norte,BR,79.92,moderate rain,-3.8881,-59.0942,Casa Juazeiro
591,Iranshahr,IR,80.6,clear sky,27.2025,60.6848,پلکه بزرگ
593,Fomboni,KM,83.95,overcast clouds,-12.28,43.7425,Auberge les abou
594,Seidu,SL,87.03,overcast clouds,9.0167,-10.6,
596,Olinda,BR,80.6,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
597,Port-Gentil,GA,78.8,light rain,-0.7193,8.7815,Fengshui Residence
599,The Valley,AI,86.0,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
603,Pagudpud,PH,75.2,few clouds,18.5616,120.7868,Saud Beach Resort and Hotel - 2
612,Davila,PH,75.2,few clouds,18.4726,120.5763,Blue Ridge Beach Resort
615,Lira,UG,81.7,broken clouds,2.235,32.9097,ST Lira Hotel Limited
617,Lucapa,AO,75.09,broken clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
619,Saint-Joseph,RE,78.8,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
621,Port Loko,SL,84.2,haze,8.7667,-12.7833,MJ Motel
622,Arona,ES,77.0,clear sky,28.0996,-16.681,Paradise Court
623,Trat,TH,81.0,broken clouds,12.5,102.5,สวนหนิง-อัศ
624,Jurado,CO,83.34,broken clouds,7.1053,-77.7641,
626,Tambura,SS,79.99,broken clouds,5.6,27.4667,Rikito Lodge
631,Quelimane,MZ,78.8,scattered clouds,-17.8786,36.8883,Hotel Flamingo
633,Antsohihy,MG,75.2,moderate rain,-14.8796,47.9875,Hotel de Ville
634,Bubaque,GW,78.3,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
637,Lumphat,KH,77.58,overcast clouds,13.4878,106.9816,Lumphat Homestay
639,Orapa,BW,78.24,broken clouds,-21.2833,25.3667,
640,Boa Vista,BR,86.0,light rain,2.8197,-60.6733,Aipana Plaza Hotel
