City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
169,Maceio,BR,-9.6658,-35.7353,84.2,61,75,13.8,broken clouds
170,Salalah,OM,17.0151,54.0924,80.6,78,0,2.3,clear sky
171,Sitka,US,57.0531,-135.33,39.2,81,90,9.22,snow
172,Lazo,RU,43.3817,133.9014,34.39,86,100,3.49,overcast clouds
173,Leningradskiy,RU,69.3833,178.4167,-6.34,97,100,10.36,overcast clouds
174,Concepcion Del Uruguay,AR,-32.4825,-58.2372,81.0,68,80,4.0,broken clouds
175,Kaeo,NZ,-35.1,173.7833,53.01,95,3,1.99,clear sky
176,Chulman,RU,56.8479,124.9104,5.94,97,100,1.16,overcast clouds
177,Hithadhoo,MV,-0.6,73.0833,83.57,71,84,10.6,broken clouds
178,Tazovskiy,RU,67.4667,78.7,19.13,96,100,7.56,overcast clouds
179,Guerrero Negro,MX,27.9769,-114.0611,62.13,59,53,17.43,broken clouds
180,Belaya Gora,RU,68.5333,146.4167,-24.88,99,100,4.09,overcast clouds
181,Svobodnyy,RU,51.4,128.1333,28.51,77,95,6.46,overcast clouds
182,Souillac,MU,-20.5167,57.5167,77.0,94,20,3.44,few clouds
183,Faanui,PF,-16.4833,-151.75,83.05,74,73,22.64,light rain
184,Novoagansk,RU,61.9449,76.6625,19.11,96,99,7.11,overcast clouds
185,Concepcion,CL,-36.827,-73.0498,66.2,59,20,10.36,few clouds
186,Coralville,US,41.6764,-91.5805,48.2,76,90,20.71,overcast clouds
187,Ponta Do Sol,PT,32.6667,-17.1,63.0,62,96,3.0,overcast clouds
188,Bredy,RU,52.4153,60.3411,16.79,97,82,7.18,broken clouds
189,Poum,NC,-20.2333,164.0167,79.54,74,87,18.63,overcast clouds
190,Camacupa,AO,-12.0167,17.4833,66.31,86,60,1.43,light rain
191,Torbay,CA,47.6666,-52.7314,55.4,35,75,19.57,broken clouds
192,Port-Cartier,CA,50.0334,-66.8654,41.0,52,90,11.5,overcast clouds
193,Lodja,CD,-3.4833,23.4333,72.1,92,69,1.54,light rain
194,Kloulklubed,PW,7.0419,134.2556,78.8,89,75,6.91,broken clouds
195,Monteprandone,IT,42.9201,13.8426,48.0,61,1,3.27,clear sky
196,Buin,CL,-33.7333,-70.75,77.0,41,20,8.05,few clouds
197,Aqtobe,KZ,50.2797,57.2072,28.4,80,0,8.95,clear sky
198,Shimoda,JP,34.6667,138.95,52.0,81,100,7.09,overcast clouds
199,Saint-Esteve,FR,42.7131,2.843,64.0,39,0,1.14,clear sky
200,Demidov,RU,55.2706,31.515,27.21,94,25,3.6,scattered clouds
201,Eyrarbakki,IS,63.863,-21.1481,35.6,75,75,13.8,broken clouds
202,Nome,US,64.5011,-165.4064,28.4,86,90,18.41,snow
203,Maralal,KE,1.0968,36.698,64.87,51,64,10.63,broken clouds
204,Kemijarvi,FI,66.7131,27.4306,33.78,86,90,12.73,overcast clouds
205,George Town,MY,5.4112,100.3354,80.01,94,20,1.14,few clouds
206,Lazaro Cardenas,MX,17.9583,-102.2,80.83,56,3,8.7,clear sky
207,Cartagena Del Chaira,CO,1.3349,-74.8429,82.36,77,81,1.83,moderate rain
208,Coahuayana,MX,18.7333,-103.6833,78.8,47,1,6.91,clear sky
209,Cairns,AU,-16.9167,145.7667,73.4,100,85,1.14,light rain
210,Rawson,AR,-43.3002,-65.1023,61.45,45,91,16.08,overcast clouds
211,Kingsland,US,30.8,-81.6898,82.0,58,96,5.99,overcast clouds
212,Orativ,UA,49.1889,29.527,35.6,64,40,6.71,scattered clouds
213,Coihaique,CL,-45.5752,-72.0662,57.2,44,0,3.44,clear sky
214,Deputatskiy,RU,69.3,139.9,-18.89,99,100,1.7,overcast clouds
215,Cabo San Lucas,MX,22.8909,-109.9124,72.0,49,40,17.27,scattered clouds
216,Khromtau,KZ,50.2503,58.4347,21.96,93,100,9.26,overcast clouds
217,Paamiut,GL,61.994,-49.6678,16.18,63,39,11.03,scattered clouds
218,Tecoanapa,MX,16.5167,-98.75,80.96,60,5,8.97,clear sky
219,Oussouye,SN,12.485,-16.5469,105.8,51,0,11.5,clear sky
220,Nijar,ES,36.9665,-2.206,62.01,88,0,3.44,clear sky
221,Phaltan,IN,17.9833,74.4333,84.16,25,23,5.77,few clouds
222,Dunedin,NZ,-45.8742,170.5036,53.01,93,100,6.91,overcast clouds
223,Bani,DO,18.2833,-70.3333,87.8,62,40,11.5,scattered clouds
224,Svetlyy,RU,54.675,20.1347,41.0,81,90,4.47,overcast clouds
225,Ulladulla,AU,-35.35,150.4667,68.0,64,5,12.66,clear sky
226,Upernavik,GL,72.7868,-56.1549,-13.29,86,100,3.87,overcast clouds
227,Aksarka,RU,66.5606,67.7975,15.15,95,99,8.61,overcast clouds
228,Ostrovnoy,RU,68.0531,39.5131,35.02,97,99,21.39,overcast clouds
229,Fare,PF,-16.7,-151.0167,82.96,74,52,21.7,light rain
230,Altay,CN,47.8667,88.1167,21.18,66,2,7.11,clear sky
231,Tshikapa,CD,-6.4167,20.8,74.89,77,65,3.67,broken clouds
232,Opuwo,NA,-18.0607,13.84,73.4,69,84,2.93,broken clouds
233,Itarema,BR,-2.9248,-39.9167,83.16,68,58,12.35,broken clouds
234,Oyama,JP,36.3,139.8,60.01,76,75,8.05,broken clouds
235,Taylor,US,32.3001,-99.8337,54.0,81,90,8.05,overcast clouds
236,Vadakku Valliyur,IN,8.3833,77.65,79.7,75,100,4.59,overcast clouds
237,Nanortalik,GL,60.1432,-45.2371,22.28,56,55,33.73,broken clouds
238,Plettenberg Bay,ZA,-34.0527,23.3716,67.89,84,100,14.88,overcast clouds
239,High Rock,BS,26.6208,-78.2833,82.4,54,47,9.22,scattered clouds
240,Lat Yao,TH,15.751,99.7893,84.0,65,91,5.26,overcast clouds
241,Cap Malheureux,MU,-19.9842,57.6142,78.01,85,75,6.96,broken clouds
242,Esperance,AU,-33.8667,121.9,55.4,82,16,4.61,few clouds
243,East Wenatchee Bench,US,47.4257,-120.2812,51.8,43,1,16.11,clear sky
244,Tonj,SS,7.2737,28.6822,86.86,43,86,6.35,overcast clouds
245,Caravelas,BR,-17.7125,-39.2481,85.39,50,0,8.3,clear sky
246,Mount Pleasant,US,32.7941,-79.8626,78.01,69,40,5.75,scattered clouds
247,San Quintin,MX,30.4833,-115.95,59.81,65,20,9.89,few clouds
248,Kruisfontein,ZA,-34.0033,24.7314,70.0,76,100,5.01,overcast clouds
249,Dalvik,IS,65.9702,-18.5286,35.6,69,90,12.66,overcast clouds
250,Nabannagan,PH,18.0715,121.5338,71.24,97,9,3.31,clear sky
251,Remanso,BR,-9.6179,-42.0831,89.94,29,2,6.15,clear sky
